Unnamed: 0,iso3,country,hdicode,hdi_rank_2022,gii_rank_2022,year,hdi,life_expectancy,pop_millions,hdi_f,hdi_m,life_expec_f,life_expec_m,expec_yr_school,expec_yr_school_f,expec_yr_school_m,mean_yr_school,mean_yr_school_f,mean_yr_school_m,gross_inc_percap,gross_inc_percap_f,gross_inc_percap_m,gender_development,gender_inequality,secondary_education_f_%,secondary_education_m_%,seats_in_parliament_f_%,seats_in_parliament_m_%,labour_participation_f_%,labour_participation_m_%,co2_emission_tons,mat_footprint_percap_tons
5115,SRB,Serbia,Very High,65.0,36.0,2022,0.805,74.137,7.2213655,0.799076289,0.810054566,76.975,71.276,14.50444031,15.19604015,13.84924984,11.5047611,11.18731102,11.85118344,19494.00891,15909.29829,23388.21081,0.986,0.119,89.87883544,96.0627568,36.55462185,63.44537815,50.97,66.1,6.017170065,14.4583
5148,SYC,Seychelles,Very High,67.0,,2022,0.802,71.738,0.1071185,0.828841854,0.778751744,76.042,68.237,13.89179039,15.44649982,12.60849953,11.19995,12.03576,10.36414,28385.74806,24755.95126,31650.50554,1.064,,,,22.85714286,77.14285714,65.23,65.25,6.223478694,
5181,SLE,Sierra Leone,Low,184.0,157.0,2022,0.458,60.411,8.605718,0.432336767,0.488413833,61.693,59.115,9.016348244,9.446272874,8.966736887,3.519426358,2.426674879,4.805853409,1612.666542,1325.681618,1898.409207,0.885,0.613,14.52282018,33.86528526,12.32876712,87.67123288,48.28,55.91,0.131795192,3.1771
5214,SGP,Singapore,Very High,9.0,8.0,2022,0.949,84.133,5.9756885,0.945324824,0.95407755,86.295,81.981,16.90273094,17.03401947,16.81064034,11.92488003,11.62705994,12.2547102,88761.14559,76610.8678,99844.2365,0.991,0.036,80.46401978,85.93203735,29.12621359,70.87378641,63.37,77.0,9.397481258,43.1508
5247,SVK,Slovakia,Very High,45.0,46.0,2022,0.855,75.33,5.643453,0.855647033,0.853861092,78.813,71.929,14.72154999,15.27138042,14.19748974,13.00719575,12.98776118,13.02834917,32171.24606,26633.64435,37966.64017,1.002,0.184,98.7970428,99.11751898,21.33333333,78.66666667,56.18,67.25,6.455440557,14.1896
5280,SVN,Slovenia,Very High,22.0,13.0,2022,0.926,82.133,2.119844,0.923820774,0.924914759,84.616,79.626,17.40657997,18.34461021,16.58584023,12.88015724,12.93550703,12.82303929,41586.89849,35263.69953,47842.54054,0.999,0.049,97.76996212,98.81544466,33.07692308,66.92307692,54.25,63.58,6.16209228,17.3827
5313,SLB,Solomon Islands,Medium,156.0,,2022,0.562,70.742,0.7242725,0.554388815,0.57817317,72.358,69.294,10.30071445,11.0673969,9.664592558,5.8796802,5.509549573,6.84283385,2273.311097,1997.656674,2537.394949,0.959,,,,8.0,92.0,82.94,85.98,0.426699969,
5346,SOM,Somalia,Low,193.0,164.0,2022,0.38,56.107,17.597511,0.327082937,0.425210819,58.233,54.072,7.647232333,7.5813078,8.34582125,1.900300026,0.885770023,2.914999962,1072.201461,578.2964179,1563.454431,0.769,0.674,4.449260235,17.77499962,20.73170732,79.26829268,22.32,49.31,0.038125863,3.1855
5379,ZAF,South Africa,High,110.0,99.0,2022,0.717,61.48,59.8938855,0.710137452,0.720676609,64.181,58.597,14.26364994,14.84506989,13.69876003,11.60696983,11.4988699,11.72364044,13185.56419,10423.35232,16095.30677,0.985,0.401,83.04311371,84.88062286,45.37444934,54.62555066,50.82,63.46,7.166394002,6.6569
5412,SSD,South Sudan,Low,192.0,,2022,0.381,55.567,10.9131635,,,57.047,54.036,5.634770141,4.510310007,6.738390029,5.726140022,4.762169838,6.189479828,690.6607575,,,,,26.53763962,36.35723877,32.33438486,67.66561514,,,0.171581069,3.5608
